sha256,FileClass,datetime,Campaign_Tag,Normalized_Tag,Report link,Comment,campaign_tag,normalized_tag,report_link,comments
0250b273344317c9a1e5a49fb7e0d2d8d2e3e3a6c6fccf1039d52122df9747ba,PDF,8/13/20 23:29,C0022,Lazarus,https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,"First infection vector, Operation Dream Job",,,,
02a28bc6829edef5e8a8f0cc5140056d2842588daea61247a31f9cca69061bbf,PEXE,4/12/23 14:31,C0022,Lazarus,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-north-star-a-job-offer-thats-too-good-to-be-true/,Operation Death Note,,,,
0aaf6668fdb194d74c3c83bc6bd098588f1d3884b7f05429a8e3bdb0a3d48f40,PEXE,1/17/18 6:45,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
0d4352322160339f87be70c2f3fe096500cfcdc95a8dea975fdfc457bd347c44,CDF,2/4/18 7:51,C0006,KoreanSpeakingActor,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/mcafee-uncovers-operation-honeybee-malicious-document-campaign-targeting-humanitarian-aid-groups/,North Korean Threat Actors,,,,
0dc8ba26be5b006127a5971c4f3a5a087d701630c04b57ab28991f432fd54ef5,PEXE,10/19/19 9:51,C0022,Lazarus,https://www.welivesecurity.com/wp-content/uploads/2020/06/ESET_Operation_Interception.pdf,Operation Interception,,,,
11dbbad391345d5817cad17a5c7e4db5b75f005a04500677cc6761408d43b7b7,PDF,8/13/20 23:29,C0022,Lazarus,https://www.clearskysec.com/wp-content/uploads/2020/08/Dream-Job-Campaign.pdf,"First Infection Vector, Operation Dream Job",,,,
130daacff74d57bb2319fc5cf815e783c6505883f69e4adcd4c2b1cac3e598ce,RTF,2/7/19 17:50,HistoricalGoblinPanda,GoblinPanda,https://go.recordedfuture.com/hubfs/reports/cta-2021-1208.pdf,https://github.com/Insikt-Group/Research/blob/master/Chinese%20State-Sponsored%20Cyber%20Espionage%20Activity%20Supports%20Expansion%20of%20Regional%20Power%20and%20Influence%20in%20Southeast%20Asia,,,,
179d18ad80b718d861ea0b4b06ad885e0a7760051497db6eb87315f92dd24b53,PEXE,8/24/21 12:46,C0007,TAG-16,https://www.bitdefender.com/files/News/CaseStudies/study/379/Bitdefender-Whitepaper-Chinese-APT.pdf,https://apt.etda.or.th/cgi-bin/showcard.cgi?g=FunnyDream&n=1,,,,
19972cc87c7653aff9620461ce459b996b1f9b030d7c8031df0c8265b73f670d,PEXE,10/8/14 23:13,C0023,APT29,https://www.welivesecurity.com/wp-content/uploads/2019/10/ESET_Operation_Ghost_Dukes.pdf,Similarity with onionduke in 2014,,,,
1a172d92638e6fdb2858dcca7a78d4b03c424b7f14be75c2fd479f59049bc5f9,CDF,10/26/19 12:24,C0022,Lazarus,https://www.mcafee.com/blogs/other-blogs/mcafee-labs/operation-north-star-a-job-offer-thats-too-good-to-be-true/,Operation Death Note,,,,
