"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","6,361,352","100"
"2","youtube.com","22,149,075","100"
"3","www.google.com","14,053,908","100"
"4","play.google.com","3,757,650","99"
"5","microsoft.com","5,121,862","99"
"6","support.google.com","5,245,103","99"
"7","linkedin.com","11,586,912","99"
"8","www.blogger.com","29,333,475","99"
"9","maps.google.com","5,716,973","98"
"10","wordpress.org","11,694,804","98"
"11","en.wikipedia.org","6,883,555","98"
"12","youtu.be","5,029,860","98"
"13","cloudflare.com","6,239,037","98"
"14","mozilla.org","2,337,206","98"
"15","docs.google.com","3,201,796","98"
"16","sites.google.com","2,158,604","97"
"17","whatsapp.com","3,386,424","97"
"18","adobe.com","2,852,043","97"
"19","plus.google.com","11,310,060","97"
"20","bp.blogspot.com","17,622,325","97"
"21","europa.eu","2,149,932","97"
"22","googleusercontent.com","3,187,067","97"
"23","accounts.google.com","2,557,987","97"
"24","drive.google.com","2,353,415","97"
"25","vimeo.com","3,521,220","96"
"26","vk.com","1,764,382","96"
"27","istockphoto.com","3,554,999","96"
"28","github.com","2,736,145","96"
"29","amazon.com","4,900,707","96"
"30","es.wikipedia.org","951,116","96"
"31","t.me","1,094,146","96"
"32","facebook.com","57,999,206","96"
"33","uol.com.br","682,751","96"
"34","jimdofree.com","1,718,118","95"
"35","search.google.com","1,376,157","95"
"36","dropbox.com","1,094,516","95"
"37","live.com","904,368","95"
"38","fr.wikipedia.org","630,751","95"
"39","w3.org","1,136,112","95"
"40","imdb.com","1,507,099","95"
"41","enable-javascript.com","8,850,287","95"
"42","nih.gov","1,416,251","95"
"43","pt.wikipedia.org","415,925","95"
"44","gravatar.com","12,220,843","95"
"45","theguardian.com","1,566,747","95"
"46","bbc.co.uk","1,731,364","95"
"47","google.co.jp","658,190","95"
"48","google.es","474,544","95"
"49","mail.ru","485,102","95"
"50","dailymotion.com","1,139,001","95"
"51","tools.google.com","1,709,272","95"
"52","ok.ru","359,294","95"
"53","policies.google.com","2,470,445","95"
"54","forbes.com","1,421,559","95"
"55","nytimes.com","2,167,831","95"
"56","medium.com","1,690,932","95"
"57","google.de","1,126,542","95"
"58","www.weebly.com","4,841,776","95"
"59","news.google.com","779,309","95"
"60","gstatic.com","621,135","95"
"61","dan.com","3,585,568","95"
"62","youronlinechoices.com","569,383","95"
"63","draft.blogger.com","10,783,861","95"
"64","bbc.com","905,861","95"
"65","cnn.com","1,617,827","95"
"66","myspace.com","1,382,382","95"
"67","who.int","1,992,492","95"
"68","files.wordpress.com","7,623,657","95"
"69","feedburner.com","1,795,691","95"
"70","netvibes.com","1,213,913","95"
"71","www.yahoo.com","1,337,284","95"
"72","google.com.br","295,071","95"
"73","wikimedia.org","1,998,305","95"
"74","paypal.com","1,108,254","95"
"75","developers.google.com","1,099,652","95"
"76","line.me","847,985","95"
"77","brandbucket.com","11,176,127","95"
"78","creativecommons.org","1,715,335","95"
"79","globo.com","447,126","95"
"80","slideshare.net","1,005,274","95"
"81","tiktok.com","545,966","94"
"82","businessinsider.com","896,716","94"
"83","4shared.com","559,157","94"
"84","issuu.com","989,197","94"
"85","ig.com.br","156,987","94"
"86","amazon.co.uk","778,192","94"
"87","un.org","591,831","94"
"88","news.yahoo.com","688,540","94"
"89","aboutads.info","602,029","94"
"90","de.wikipedia.org","674,066","94"
"91","bit.ly","4,840,494","94"
"92","foxnews.com","583,187","94"
"93","abril.com.br","273,089","94"
"94","shopify.com","2,371,103","94"
"95","pixabay.com","462,429","94"
"96","t.co","2,112,201","94"
"97","list-manage.com","782,400","94"
"98","google.ru","199,860","94"
"99","independent.co.uk","759,333","94"
"100","usatoday.com","851,360","94"
"101","fb.com","453,973","94"
"102","scribd.com","768,320","94"
"103","storage.googleapis.com","813,451","94"
"104","office.com","515,642","94"
"105","fandom.com","597,926","94"
"106","tinyurl.com","1,419,843","94"
"107","google.it","444,262","94"
"108","harvard.edu","756,541","94"
"109","opera.com","919,765","94"
"110","researchgate.net","682,225","94"
"111","yandex.ru","1,015,293","94"
"112","msn.com","1,106,079","94"
"113","nasa.gov","677,009","94"
"114","aliexpress.com","512,534","94"
"115","photos.google.com","278,393","94"
"116","forms.gle","707,025","94"
"117","namecheap.com","1,142,157","94"
"118","amazon.de","555,459","94"
"119","plesk.com","700,870","94"
"120","time.com","821,100","94"
"121","nature.com","603,337","94"
"122","huffingtonpost.com","1,088,756","94"
"123","bloomberg.com","849,575","94"
"124","dailymail.co.uk","1,108,829","94"
"125","tripadvisor.com","707,889","94"
"126","terra.com.br","204,668","94"
"127","buydomains.com","1,076,669","94"
"128","mirror.co.uk","406,833","94"
"129","marketingplatform.google....","852,846","94"
"130","picasaweb.google.com","637,538","94"
"131","shutterstock.com","504,992","94"
"132","wa.me","1,157,227","94"
"133","ytimg.com","863,975","94"
"134","change.org","497,149","94"
"135","ft.com","492,988","94"
"136","cpanel.com","1,283,661","94"
"137","mail.google.com","495,134","94"
"138","telegram.me","359,178","94"
"139","cdc.gov","888,515","94"
"140","cnet.com","731,256","94"
"141","cbsnews.com","599,715","94"
"142","pinterest.com","8,505,133","94"
"143","telegraph.co.uk","997,350","94"
"144","wikia.com","511,410","94"
"145","networkadvertising.org","723,071","94"
"146","huffpost.com","1,206,186","94"
"147","wp.com","1,997,879","94"
"148","domainmarket.com","1,185,359","94"
"149","hatena.ne.jp","1,503,285","94"
"150","cpanel.net","1,667,345","94"
"151","goo.gl","4,634,226","94"
"152","sedo.com","2,230,676","94"
"153","google.fr","411,297","94"
"154","amazon.co.jp","855,455","94"
"155","thesun.co.uk","411,123","94"
"156","estadao.com.br","133,943","94"
"157","google.co.uk","598,363","94"
"158","android.com","314,549","94"
"159","amazon.es","188,874","94"
"160","archive.org","1,160,819","94"
"161","express.co.uk","373,805","94"
"162","wsj.com","978,777","94"
"163","washingtonpost.com","1,154,315","94"
"164","www.gov.uk","620,458","94"
"165","imageshack.us","817,737","94"
"166","ru.wikipedia.org","378,060","94"
"167","google.pl","209,217","94"
"168","afternic.com","2,827,630","94"
"169","yadi.sk","178,643","94"
"170","soundcloud.com","1,816,827","94"
"171","elpais.com","424,899","94"
"172","get.google.com","658,097","94"
"173","reuters.com","926,184","94"
"174","booking.com","402,045","94"
"175","webmd.com","733,342","94"
"176","mediafire.com","855,367","94"
"177","twitter.com","59,229,429","94"
"178","outlook.com","350,691","93"
"179","groups.google.com","356,618","93"
"180","pinterest.fr","127,604","93"
"181","xinhuanet.com","598,448","93"
"182","akamaihd.net","584,738","93"
"183","nypost.com","418,839","93"
"184","lemonde.fr","271,862","93"
"185","google.ca","343,703","93"
"186","bitly.com","443,501","93"
"187","pbs.org","543,984","93"
"188","sciencemag.org","326,810","93"
